id;courseid;type;name
15228;351;forum;Объявления
19078;351;videofile;ВВЕДЕНИЕ в КУРС (видео)
18441;351;label;Пояснение
18971;351;label; ВВЕДЕНИЕ в КУРС...
18984;351;label; СОПРОВОЖДЕНИЕ...
18570;351;label;Пояснение
18571;351;label;Пояснение
18946;351;videofile;1.1. Знакомство с языком Python (ВИДЕО)
18947;351;videofile;1.2. Установка Python и библиотек (ВИДЕО)
18948;351;videofile;1.3. Установка и работа в Jupyter (ВИДЕО)
18950;351;videofile;1.4. Работа в Google Colab (ВИДЕО)
18648;351;label; САМОКОНТРОЛЬ
18945;351;quiz;1.5. Знакомство с Python (ТЕСТ)
18659;351;label; ИНСТРУКЦИИ
18792;351;resource;1.6. Инструкция по установке Python (Windows).
18794;351;resource;1.7. Инструкция по установке Python (MacOS/Linux).
18793;351;resource;1.8. Инструкция по установке Jupyter.
19128;351;label; ПРАКТИКУМ
19096;351;vpl;ROOT VPL ACTIVITY
19088;351;videofile;2.1. Базовые типы данных
19089;351;videofile;2.2. Переменные
19091;351;videofile;2.3. Преобразование типов данных
19092;351;videofile;2.4. Встроенные операции с числами (ВИДЕО)
19117;351;videofile;2.5. Встроенные операции со строками (ВИДЕО)
19093;351;videofile;2.6. Объектная-ориентированность языка и оформление кода (ВИДЕО)
19118;351;videofile;2.7. Управляющие структуры (ВИДЕО)
19107;351;folder;2.8. Лекционные материалы
18854;351;label; САМОКОНТРОЛЬ
18649;351;quiz;2.9. Базовые типы данных в Python (ТЕСТ)
18650;351;quiz;2.10. Управляющие структуры Python (ТЕСТ)
18853;351;label; ПРАКТИКУМ
19120;351;vpl;2.11. Встроенные операции с числами
19127;351;vpl;2.12. Встроенные операции со строками
18653;351;vpl;2.13. Управляющие структуры в Python.
19094;351;videofile;3.1.Последовательные структуры данных - списки. Часть 1 (ВИДЕО)
19320;351;videofile;3.2. Последовательные структуры данных - списки. Часть 2 (ВИДЕО)
19321;351;videofile;3.3. Последовательные структуры данных - кортежи (ВИДЕО)
19319;351;videofile;3.4. Коллекции данных - множества (ВИДЕО)
19318;351;videofile;3.5. Коллекции данных - словари (ВИДЕО)
19317;351;videofile;3.6.1. Создание и использование функций. Часть 1 (ВИДЕО)
19324;351;videofile;3.6.2. Создание и использование функций. Часть 2 (ВИДЕО)
19316;351;videofile;3.7. Особые виды функций (Lambda, генераторы, декораторы) (ВИДЕО)
19315;351;videofile;3.8. Работа с модулями и пакетами в Python (ВИДЕО)
19322;351;videofile;3.9. Примеры работы со структурами данных (ВИДЕО)
19281;351;folder;3.10. Лекционные материалы
18660;351;label; САМОКОНТРОЛЬ
18651;351;quiz;3.11. Функции и методы в Python (ТЕСТ)
18652;351;quiz;3.12. Кортежи, списки, словари в Python (ТЕСТ)
18654;351;label; ПРАКТИКУМ
19143;351;vpl;3.13. Работа со списками
18655;351;vpl;3.14. Сортировка слиянием.
19144;351;vpl;3.15. Расстановка кораблей для морского боя
19325;351;vpl;3.16. Определяем результат хода
19445;351;videofile;4.1. Создание и инициализация массивов numpy (ВИДЕО)
19446;351;videofile;4.2. Математические и логические операции с векторами и матрицами (ВИДЕО)
19447;351;videofile;4.3. Полезные методы работы с массивами (ВИДЕО)
19448;351;videofile;4.4. Модуль linalg библиотеки numpy (ВИДЕО)
19456;351;videofile;4.5. Модуль random библиотеки numpy (ВИДЕО)
19449;351;videofile;4.6. Чтение и запись текстов и массивов в файл (ВИДЕО)
19450;351;videofile;4.7. Рисование 2D графиков функций в matplotlib (ВИДЕО)
19453;351;videofile;4.8. Рисование 3D графиков функций в matplotlib (ВИДЕО)
