course_branch_id;course_item_id;course_lesson_id;course_branch_item_order;course_item_type_id;course_branch_item_name;course_branch_item_optional
"393";"18269";"5696";0;4;"Объявления";t
"393";"25033";"5697";0;1;"ВВЕДЕНИЕ в КУРС (видео)";f
"393";"25034";"5697";1;7;"Пояснение";f
"393";"25035";"5697";2;7;"




   ВВЕДЕНИЕ в КУРС  ...";f
"393";"25036";"5697";3;7;"




   СОПРОВОЖДЕНИЕ  
...";f
"393";"25153";"5698";0;1;"1.1. Что такое машинное обучение? Цель курса (ВИДЕО)";f
"393";"25154";"5698";1;1;"1.2. Основные задачи машинного обучения (ВИДЕО)";f
"393";"25191";"5698";2;1;"1.3. Основные задачи и кейсы курса (ВИДЕО)";f
"393";"25651";"5698";3;7;"Полезные ссылки для изучения теории модуля";f
"393";"25146";"5698";4;7;"  САМОКОНТРОЛЬ  ";f
"393";"25157";"5698";5;6;"1. Введение в машинное обучение (ТЕСТ)";t
"393";"25169";"5698";6;7;"  ПРАКТИКУМ  ";f
"393";"25170";"5698";7;7;"1. Практика курса и библиотеки для работы с данными (ТЕКСТ)";f
"393";"25139";"5698";8;10;"ROOT VPL ACTIVITY";t
"393";"25037";"7796";0;1;"2.1. Постановка задачи построения линейной регрессии (ВИДЕО)";f
"393";"25038";"7796";1;1;"2.2. Нормальная система уравнений (ВИДЕО)";f
"393";"25039";"7796";2;1;"2.3. Гребневая регрессия. L2 - регуляризация (ВИДЕО)";f
"393";"25040";"7796";3;1;"2.4. Метод LASSO. L1 - регуляризация (ВИДЕО)";f
"393";"25041";"7796";4;1;"2.5. Пример прогноза итогового балла на курсе (ВИДЕО)";f
"393";"25042";"7796";5;1;"2.6. Выбор структуры модели. Метрики качества (ВИДЕО)";f
"393";"25043";"7796";6;7;"2. Материалы лекций";f
"393";"25044";"7796";7;7;"  САМОКОНТРОЛЬ  ";f
"393";"25045";"7796";8;6;"2. Линейный регрессионный анализ (ТЕСТ)";t
"393";"25046";"7796";9;7;"  ПРАКТИКУМ  ";f
"393";"25047";"7796";10;10;"2. Прогноз итоговой суммы баллов на онлайн-курсе (VPL)";t
"393";"25048";"7797";0;1;"3.1. Постановка задачи классификации (ВИДЕО)";f
"393";"25049";"7797";1;1;"3.2. Метрики качества работы классификаторов. Часть 1 (ВИДЕО)";f
"393";"25400";"7797";2;1;"3.3. Метрики качества работы классификаторов. Часть 2 (ВИДЕО)";f
"393";"25121";"7797";3;1;"3.4. Метод k-ближайших соседей (ВИДЕО)";f
"393";"25120";"7797";4;1;"3.5. Логистическая регрессия как классификатор объектов (ВИДЕО)";f
"393";"25050";"7797";5;1;"3.6. Пример классификации обучающихся на онлайн-курсе (ВИДЕО)";f
"393";"25051";"7797";6;7;"3. Материалы лекций";f
"393";"25054";"7797";7;7;"  САМОКОНТРОЛЬ  ";f
"393";"25053";"7797";8;6;"3. Методы классификации (ТЕСТ)";t
"393";"25052";"7797";9;7;"  ПРАКТИКУМ  ";f
"393";"25122";"7797";10;10;"3.1. Классификация методом k-ближайших соседей (VPL)";t
"393";"25055";"7797";11;10;"3.2. Логистическая регрессия (VPL)";t
"393";"25144";"5699";0;1;"4.1. Мотивация. Задачи анализа данных (ВИДЕО)";f
"393";"25147";"5699";1;1;"4.2. Линейный факторный анализ: метод главных компонент (ВИДЕО)";f
"393";"25148";"5699";2;1;"4.3. Снижение размерности: метод t-SNE (ВИДЕО)";f
"393";"25149";"5699";3;1;"4.4. Кластеризация объектов: метод k-means (ВИДЕО)";f
"393";"25150";"5699";4;1;"4.5. Метод иерархической кластеризации (ВИДЕО)";f
"393";"25266";"5699";5;7;"4. Материалы лекций";f
"393";"25151";"5699";6;7;"  САМОКОНТРОЛЬ  ";f
"393";"25152";"5699";7;6;"4. Методы снижения размерности и кластеризации данных (ТЕСТ)";t
"393";"25145";"5699";8;7;"  ПРАКТИКУМ  ";f
"393";"25141";"5699";9;10;"4.1. Кластеризация методом k-means (VPL)";t
